"table_name","column_name","data_type","is_nullable","column_default","rls_enabled","policyname","action","roles","using_expression","check_expression","foreign_table","foreign_column"
"anomalie","date_detection","timestamp with time zone","NO","now()","f",,,,,,"poste","id"
"anomalie","id","uuid","NO","gen_random_uuid()","f",,,,,,"poste","id"
"anomalie","niveau","character varying","NO","'WARNING'::character varying","f",,,,,,"poste","id"
"anomalie","poste_id","uuid","YES",,"f",,,,,,"poste","id"
"anomalie","resolue","boolean","NO","false","f",,,,,,"poste","id"
"anomalie","type_anomalie","character varying","NO",,"f",,,,,,"poste","id"
"anomalie","valeur_attendue","text","YES",,"f",,,,,,"poste","id"
"anomalie","valeur_source","text","YES",,"f",,,,,,"poste","id"
"bouclage","actif","boolean","NO","false","f",,,,,,"referentiel_depart","code"
"bouclage","actif","boolean","NO","false","f",,,,,,"referentiel_depart","code"
"bouclage","actif","boolean","NO","false","f",,,,,,"omt","id"
"bouclage","actif","boolean","NO","false","f",,,,,,"point_ouverture","id"
"bouclage","actif","boolean","NO","false","f",,,,,,"poste","id"
"bouclage","actif","boolean","NO","false","f",,,,,,"poste","id"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"point_ouverture","id"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"poste","id"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"referentiel_depart","code"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"referentiel_depart","code"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"poste","id"
"bouclage","confirme_par_pdf","boolean","NO","false","f",,,,,,"omt","id"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"point_ouverture","id"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","depart_a","character varying","YES",,"f",,,,,,"omt","id"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"omt","id"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","depart_b","character varying","YES",,"f",,,,,,"point_ouverture","id"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"omt","id"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"referentiel_depart","code"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"poste","id"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"point_ouverture","id"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"poste","id"
"bouclage","id","uuid","NO","gen_random_uuid()","f",,,,,,"referentiel_depart","code"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"poste","id"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"point_ouverture","id"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"omt","id"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"poste","id"
"bouclage","omt_id","uuid","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"point_ouverture","id"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"poste","id"
"bouclage","point_contact","character varying","YES",,"f",,,,,,"omt","id"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"point_ouverture","id"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"referentiel_depart","code"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"poste","id"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"poste","id"
"bouclage","point_ouverture_id","uuid","YES",,"f",,,,,,"omt","id"
"bouclage","poste_a_id","uuid","YES",,"f",,,,,,"poste","id"
"bouclage","poste_a_id","uuid","YES",,"f",,,,,,"referentiel_depart","code"
